"title","site","country","year_release","box_office","director","number_of_subjects","subject","type_of_subject","race_known","subject_race","person_of_color","subject_sex","lead_actor_actress"
"10 Rillington Place","tt0066730","UK",1971,NA,"Richard Fleischer",1,"John Christie","Criminal","Unknown",NA,FALSE,"Male","Richard Attenborough"
"12 Years a Slave","tt2024544","US/UK",2013,56700000,"Steve McQueen",1,"Solomon Northup","Other","Known","African American",TRUE,"Male","Chiwetel Ejiofor"
"127 Hours","tt1542344","US/UK",2010,18300000,"Danny Boyle",1,"Aron Ralston","Athlete","Unknown",NA,FALSE,"Male","James Franco"
"1987","tt2833074","Canada",2014,NA,"Ricardo Trogi",1,"Ricardo Trogi","Other","Known","White",FALSE,"Male","Jean-Carl Boucher"
"20 Dates","tt0138987","US",1998,537000,"Myles Berkowitz",1,"Myles Berkowitz","Other","Unknown",NA,FALSE,"Male","Myles Berkowitz"
"21","tt0478087","US",2008,81200000,"Robert Luketic",1,"Jeff Ma","Other","Known","Asian American",TRUE,"Male","Jim Sturgess"
"24 Hour Party People","tt0274309","UK",2002,1130000,"Michael Winterbottom",1,"Tony Wilson","Musician","Known","White",FALSE,"Male","Steve Coogan"
"42","tt0453562","US",2013,9.5e+07,"Brian Helgeland",1,"Jackie Robinson","Athlete","Known","African American",TRUE,"Male","Chadwick Boseman"
"8 Seconds","tt0109021","US",1994,19600000,"John G. Avildsen",1,"Lane Frost","Athlete","Unknown",NA,FALSE,"Male","Luke Perry"
"84 Charing Cross Road","tt0090570","US/UK",1987,1080000,"David Hugh Jones",2,"Frank Doel","Author","Unknown",NA,FALSE,"Male","Anthony Hopkins"
"84 Charing Cross Road","tt0090570","US/UK",1987,1080000,"David Hugh Jones",2,"Helene Hanff","Author","Unknown",NA,FALSE,"Female","Anne Bancroft"
"A Beautiful Mind","tt0268978","US",2001,1.71e+08,"Ron Howard",1,"John Nash","Academic","Unknown",NA,FALSE,"Male","Russell Crowe"
"A Dangerous Method","tt1571222","Canada/UK",2011,5700000,"David Cronenberg",3,"Carl Gustav Jung","Academic","Known","White",FALSE,"Male","Michael Fassbender"
"A Dangerous Method","tt1571222","Canada/UK",2011,5700000,"David Cronenberg",3,"Sigmund Freud","Academic","Known","White",FALSE,"Male","Viggo Mortensen"
"A Dangerous Method","tt1571222","Canada/UK",2011,5700000,"David Cronenberg",3,"Sabina Spielrein","Academic","Known","White",FALSE,"Female","Keira Knightley"
"A Home of Our Own","tt0107130","US",1993,1700000,"Tony Bill",1,"Frances Lacey","Other","Unknown",NA,FALSE,"Female","Kathy Bates"
"A Man Called Peter","tt0048337","US",1955,NA,"Henry Koster",1,"Peter Marshall","Other","Known","White",FALSE,"Male","Richard Todd"
"A Man for All Seasons","tt0060665","UK",1966,NA,"Fred Zinnemann",1,"Thomas More","Historical","Known","White",FALSE,"Male","Paul Scofield"
"A Matador's Mistress","tt0491046","US/UK",2008,NA,"Menno Meyjes",2,"Lupe Sino","Actress","Known","Hispanic (White)",FALSE,"Female","PenÃ©lope Cruz"
"A Matador's Mistress","tt0491046","US/UK",2008,NA,"Menno Meyjes",2,"Manuel RodrÃ_guez SÃ¡nchez","Athlete","Known","Hispanic (White)",FALSE,"Male","Adrien Brody"
"A Mighty Heart","tt0829459","US/UK",2007,9170000,"Michael Winterbottom",2,"Daniel Pearl","Journalist","Known","White",FALSE,"Male","Dan Futterman"
"A Mighty Heart","tt0829459","US/UK",2007,9170000,"Michael Winterbottom",2,"Mariane Pearl","Journalist","Known","Multi racial",TRUE,"Female","Angelina Jolie"
